threshold	n	prop_a	prop_r	enloc
0.001	2456	0.0176830585355317	0.887924801156905	0.5
1e-04	2389	0.0172006623947008	0.863702096890817	0.5
1e-05	2317	0.0166822665418677	0.83767172812726	0.5
1e-06	2000	0.0143998848009216	0.723065798987708	0.5
1e-07	1644	0.0118367053063575	0.594360086767896	0.5
1e-08	1382	0.00995032039743682	0.499638467100506	0.5
1e-09	1152	0.00829433364533084	0.41648590021692	0.5
1e-10	1008	0.00725754193966448	0.364425162689805	0.5
1e-11	839	0.00604075167398661	0.303326102675343	0.5
1e-12	726	0.00522715818273454	0.262472885032538	0.5
1e-13	647	0.00465836273309814	0.233911785972523	0.5
1e-14	593	0.00426956584347325	0.214389009399855	0.5
1e-15	517	0.00372237022103823	0.186912509038322	0.5
1e-16	464	0.00334077327381381	0.167751265365148	0.5
1e-17	427	0.00307437540499676	0.154374548083876	0.5
1e-18	402	0.00289437684498524	0.145336225596529	0.5
1e-19	376	0.00270717834257326	0.135936370209689	0.5
1e-20	355	0.00255597955216358	0.128344179320318	0.5
1e-21	338	0.00243358053135575	0.122198120028923	0.5
1e-22	314	0.00226078191374469	0.11352133044107	0.5
1e-23	293	0.00210958312333501	0.105929139551699	0.5
1e-24	283	0.00203758369933041	0.102313810556761	0.5
1e-25	261	0.00187918496652027	0.0943600867678959	0.5
1e-26	257	0.00185038519691842	0.0929139551699205	0.5
1e-27	244	0.00175678594571243	0.0882140274765004	0.5
1e-28	233	0.00167758657930737	0.084237165582068	0.5
1e-29	222	0.0015983872129023	0.0802603036876356	0.5
1e-30	215	0.00154798761609907	0.0777295733911786	0.5
1	14598	0.105104759161927	1	0.1
0.1	13471	0.0969904240766074	0.92279764351281	0.1
0.05	13272	0.0955576355389157	0.909165639128648	0.1
0.01	12907	0.0929296565627475	0.884162214001918	0.1
0.00102040816326531	12388	0.0891928864569083	0.848609398547746	0.1
0.001	12386	0.0891784865721074	0.848472393478559	0.1
1e-04	11733	0.0844769241846065	0.80374023838882	0.1
1e-05	10012	0.0720858233134135	0.685847376352925	0.1
1e-06	7710	0.0555115559075527	0.528154541718044	0.1
1e-07	6064	0.0436604507163943	0.415399369776682	0.1
1e-08	4890	0.0352077183382533	0.334977394163584	0.1
1e-09	4031	0.0290229678162575	0.276133716947527	0.1
1e-10	3418	0.024609403124775	0.23414166324154	0.1
1e-11	2848	0.0205054359565123	0.195095218523085	0.1
1e-12	2474	0.01781265749874	0.169475270585012	0.1
1e-13	2196	0.0158110735114119	0.150431565967941	0.1
1e-14	1922	0.0138382892936857	0.131661871489245	0.1
1e-15	1678	0.0120815033479732	0.114947253048363	0.1
1e-16	1484	0.0106847145222838	0.101657761337169	0.1
1e-17	1359	0.00978472172222622	0.093094944512947	0.1
1e-18	1262	0.00908632730938153	0.0864501986573503	0.1
1e-19	1165	0.00838793289653683	0.0798054528017537	0.1
1e-20	1086	0.00781913744690042	0.074393752568845	0.1
1e-21	1005	0.0072359421124631	0.0688450472667489	0.1
1e-22	922	0.00663834689322485	0.0631593368954651	0.1
1e-23	851	0.00612715098279214	0.0582956569393068	0.1
1e-24	805	0.00579595363237094	0.0551445403479929	0.1
1e-25	742	0.00534235726114191	0.0508288806685847	0.1
1e-26	705	0.00507595939232486	0.0482942868886149	0.1
1e-27	661	0.00475916192670459	0.0452801753664886	0.1
1e-28	626	0.00450716394268846	0.0428825866557063	0.1
1e-29	602	0.0043343653250774	0.0412385258254555	0.1
1e-30	574	0.0041327669378645	0.0393204548568297	0.1
1	40103	0.288739290085679	1	0.01
0.1	34599	0.249110807113543	0.862753409969329	0.01
0.05	33571	0.241709266325869	0.837119417499938	0.01
0.01	31701	0.228245374037008	0.790489489564372	0.01
0.00102040816326531	28938	0.208351933184535	0.721591900855298	0.01
0.001	28910	0.208150334797322	0.720893698725781	0.01
1e-04	24163	0.173972208222334	0.602523501982395	0.01
1e-05	18674	0.134451724386205	0.465650948806822	0.01
1e-06	13978	0.100640794873641	0.34855247737077	0.01
1e-07	11063	0.0796529627762978	0.275864648530035	0.01
1e-08	9138	0.0657930736554108	0.227863252125776	0.01
1e-09	7566	0.0544747642018864	0.188664189711493	0.01
1e-10	6431	0.0463028295773634	0.160362067675735	0.01
1e-11	5487	0.0395060839513284	0.136822681594893	0.01
1e-12	4757	0.034250125998992	0.118619554646785	0.01
1e-13	4220	0.0303837569299446	0.105229035234272	0.01
1e-14	3718	0.0267693858449132	0.0927112684836546	0.01
1e-15	3208	0.0230974152206782	0.0799940154103184	0.01
1e-16	2829	0.0203686370509036	0.0705433508715059	0.01
1e-17	2570	0.0185038519691842	0.0640849811734783	0.01
1e-18	2345	0.0168838649290806	0.0584744283470065	0.01
1e-19	2158	0.0155374757001944	0.0538114355534499	0.01
1e-20	2007	0.0144502843977248	0.0500461312121288	0.01
1e-21	1844	0.0132766937864497	0.0459815973867292	0.01
1e-22	1701	0.0122471020231838	0.0424157793681271	0.01
1e-23	1569	0.011296709626323	0.0391242550432636	0.01
1e-24	1496	0.0107711138310894	0.0373039423484527	0.01
1e-25	1408	0.0101375188998488	0.0351095927985437	0.01
1e-26	1345	0.00968392252861977	0.0335386380071316	0.01
1e-27	1242	0.00894232846137231	0.0309702516021245	0.01
1e-28	1172	0.00843833249334005	0.0292247462783333	0.01
1e-29	1113	0.00801353589171287	0.0277535346482807	0.01
1e-30	1055	0.00759593923248614	0.0263072588085679	0.01
